PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
Ulu kapak mari di-chakok Serepeh melayang kadalam prahu Ibu bapa ajar tak-chukop Kaseh saying buleh-lah tahu.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,pak,yang,pa,ying,kok,hu,kop,hu,20.0,"kapak, Serepeh, Ulu, kadalam, di-chakok, Ibu, buleh-lah, prahu, Kaseh, tak-chukop, tahu., melayang, bapa, mari, ajar, saying"
Batu firus mari di-selang Bangkit bersri wajah gemilang Biar kuros nampak-nya tulang Atoran bistari jangan-lah hilang.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,rus,sri,ros,ri,lang,lang,lang,lang,22.0,"hilang., jangan-lah, di-selang, mari, gemilang, wajah, Batu, kuros, bistari, tulang, firus, Atoran, Biar, nampak-nya, Bangkit, bersri"
Orang kampong orang temenggong Potong kerbau tembon-tembon Suka di-junjong susah di-tanggong Sebagi kemarau di-timpa embon.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,pong,bau,jong,rau,gong,bon,gong,bon,18.0,"kerbau, di-junjong, di-tanggong, embon., Potong, Suka, temenggong, di-timpa, kemarau, orang, tembon-tembon, kampong, Sebagi, susah, Orang"
Papan jati di-pukol arus Anak raja turon menjala Susah hati badan pon kurus Kalau tak-jaga manjadi gila.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,ti,ja,ti,ga,rus,la,rus,la,23.0,"arus, pon, kurus, tak-jaga, hati, menjala, jati, gila., Susah, manjadi, raja, Anak, badan, di-pukol, Papan, Kalau, turon"
Ambil arang di-gosok-kan lidah Ayer mata belinang-linang Jadi orang bukan-nya mudah Terlebeh susah dari-pada senang.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,rang,ta,rang,sah,dah,nang,dah,nang,22.0,"Ayer, mata, di-gosok-kan, orang, senang., belinang-linang, mudah, lidah, bukan-nya, dari-pada, arang, Jadi, Terlebeh, susah, Ambil"
Chuka datang dari-nya hulu Teban nipah pagar-pagar-kan Sedang suka berhanti dahulu Bila susah sabar-sabar-kan,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,tang,pah,ka,sah,lu,kan,lu,kan,22.0,"nipah, berhanti, sabar-sabar-kan, dahulu, hulu, suka, datang, dari-nya, pagar-pagar-kan, Sedang, Teban, Bila, Chuka, susah"
Kriang acheh dari sebrang Ambil di-bawak berkarong-karong Handak menangis tiada orang Kalau nak-gila ada sekarang,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,,,,,,,,,0.0,"dari, berkarong-karong, di-bawak, tiada, acheh, nak-gila, ada, menangis, sebrang, sekarang, Kriang, orang, Handak, Kalau, Ambil"
Buah kranji beraga-raga Hingggot lagi jangan di-reban-kan Sunggoh janji tak-usah di-jaga Laut jangan tuan terjon-kan,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,ji,gi,ji,ngan,ga,kan,ga,kan,22.0,"tuan, beraga-raga, Hingggot, jangan, Buah, Sunggoh, kranji, di-jaga, Laut, terjon-kan, lagi, janji, di-reban-kan, tak-usah"
Pechah layer ribot berpalu Terbang pipit masok di-kota Biar kita jaga dahulu Mahu terkena nasib kita.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,yer,pit,ta,na,lu,ta,lu,ta,23.0,"masok, nasib, kita., Terbang, dahulu, berpalu, Mahu, kita, layer, Biar, jaga, pipit, terkena, Pechah, di-kota, ribot"
Layang-layang di-hutan pandan Buah remia di-dalam raga Sayang-sayang tuboh dan badan Satu dunia bukan-nya harga.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,,,,,,,,,0.0,"raga, remia, Buah, dan, Layang-layang, Satu, di-hutan, di-dalam, bukan-nya, tuboh, dunia, harga., badan, Sayang-sayang, pandan"
Adek kakak sahabat handai Mari balek ketempat-nya Apa bijak apa pandai Diri-nya baik itu guna-nya.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,,,,,,,,,0.0,"ketempat-nya, bijak, baik, Diri-nya, Mari, handai, Adek, apa, pandai, itu, Apa, sahabat, balek, guna-nya., kakak"
Gadongan di-atas batu Mari di-tampi buang abu-nya Jangan jadi seperti kekatu Kedalam api serbu diri-nya.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,ngan,pi,di,pi,tu,nya,tu,nya,19.0,"abu-nya, kekatu, seperti, api, Mari, Kedalam, Gadongan, jadi, di-tampi, di-atas, batu, Jangan, buang, serbu, diri-nya."
Ayer gula lupa di-tudong Selimut dengan kain gebar Dengar suara badan terlindong Rasa tak-buleh di-tahan sabar.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,la,ngan,ra,leh,dong,bar,dong,bar,23.0,"suara, kain, Selimut, gula, Ayer, di-tahan, dengan, badan, sabar., terlindong, gebar, tak-buleh, di-tudong, Dengar, Rasa, lupa"
Bungah pandan betara indra Bawak abang kedeli medan Badan terlindong dengar suara Rasa terhubong nyawa di-badan.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,dan,bang,dong,bong,ra,dan,ra,dan,23.0,"indra, abang, Bungah, medan, Badan, dengar, di-badan., kedeli, terlindong, Bawak, betara, nyawa, suara, Rasa, terhubong, pandan"
Ulu kapak mari di-chakok Serepeh melayang kadalam prahu Ibu bapa ajar tak-chukop Kaseh saying buleh-lah tahu.,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,pak,yang,pa,ying,kok,hu,kop,hu,20.0,"kapak, Serepeh, Ulu, kadalam, di-chakok, Ibu, buleh-lah, prahu, Kaseh, tak-chukop, tahu., melayang, bapa, mari, ajar, saying"
Selorah dunia mashor artawan Di-pujee rajah darjat berkilau-an Nama baik sangat chembu-an Bersey amat susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,a,jah,ik,mat,wan,an,an,an,20.0,"sangat, Di-pujee, baik, Chap, susu, amat, Prompuan., artawan, mashor, rajah, Selorah, dunia, berkilau-an, chembu-an, Nama, darjat, Bersey"
Menyaga besar susu haiwan Srata ada agent stiawan Laku tiadak dapat di-lawan Nama ter-angkat susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,sar,da,dak,kat,wan,wan,wan,an,20.0,"Laku, di-lawan, besar, Nama, Chap, susu, stiawan, Srata, agent, haiwan, ada, Prompuan., tiadak, ter-angkat, Menyaga, dapat"
Jika orang sakit lepu-an Dapat minoom barang sa-chawan Naschaya segar angota lesuan Krana kuat susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,rang,noom,gar,at,an,wan,an,an,20.0,"Jika, angota, Dapat, sa-chawan, segar, Chap, kuat, susu, minoom, sakit, lesuan, lepu-an, Naschaya, Prompuan., barang, Krana, orang"
Bebrapa bomo pangkat yang nombor-one Puji baik dengan akuan Orang sakit sbarang kelakuan Buleh minoom susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,mo,ik,kit,noom,ne,an,an,an,20.0,"yang, Puji, pangkat, Buleh, baik, Chap, susu, dengan, kelakuan, sakit, nombor-one, Prompuan., Bebrapa, bomo, sbarang, minoom, akuan, Orang"
Bukan sahaja barang jamuan Banyak lagi ya-ampunya lawan Bebrapa kanak-kanak yang pia-tuan Di-plehira dengan susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,ja,gi,nak,ngan,an,wan,an,an,21.0,"yang, lawan, jamuan, Chap, susu, dengan, kanak-kanak, Prompuan., Bukan, ya-ampunya, Banyak, barang, Bebrapa, pia-tuan, lagi, Di-plehira, sahaja"
Fa-idah nya bukan tiadak ketentu-an Bagi sekelian wajah bangsawan Jika buat barang jamuan Mahu-lah champor susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,kan,an,at,por,an,wan,an,an,16.0,"ketentu-an, sekelian, Jika, jamuan, Chap, susu, Fa-idah, nya, wajah, champor, bangsawan, Bagi, Prompuan., bukan, barang, tiadak, buat, Mahu-lah"
Di-mak-lom dengan spenoh khal-buan Kepada sekelian inchek tuan-tuan Suatu kesah di-bri ketahu-wan Fasal fa-idah susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,ngan,an,sah,dah,an,an,wan,an,16.0,"sekelian, ketahu-wan, Suatu, Di-mak-lom, Chap, di-bri, dengan, susu, Kepada, Prompuan., fa-idah, kesah, inchek, tuan-tuan, spenoh, Fasal, khal-buan"
Susu deri pada benatang haiwan Di-negri-negri tempat tentu-an Telah mashor di-bawa awan Nama besar susu Chap Prompuan.,Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,da,ri,hor,sar,wan,an,wan,an,21.0,"Nama, tempat, awan, besar, susu, deri, Chap, tentu-an, benatang, haiwan, Prompuan., pada, mashor, Susu, Telah, di-bawa, Di-negri-negri"
Gadongan di-atas batu Mari di-tampi buang abu-nya Jangan jadi seperti kekatu Kedalam api serbu diri-nya.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,ngan,pi,di,pi,tu,nya,tu,nya,19.0,"abu-nya, kekatu, seperti, api, Mari, Kedalam, Gadongan, jadi, di-tampi, di-atas, batu, Jangan, buang, serbu, diri-nya."
Ayer gula lupa di-tudong Selimut dengan kain gebar Dengar suara badan terlindong Rasa tak-buleh di-tahan sabar.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,la,ngan,ra,leh,dong,bar,dong,bar,23.0,"suara, kain, Selimut, gula, Ayer, di-tahan, dengan, badan, sabar., terlindong, gebar, tak-buleh, di-tudong, Dengar, Rasa, lupa"
Bungah pandan betara indra Bawak abang kedeli medan Badan terlindong dengar suara Rasa terhubong nyawa di-badan.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,dan,bang,dong,bong,ra,dan,ra,dan,23.0,"indra, abang, Bungah, medan, Badan, dengar, di-badan., kedeli, terlindong, Bawak, betara, nyawa, suara, Rasa, terhubong, pandan"
Ulu kapak mari di-chakok Serepeh melayang kadalam prahu Ibu bapa ajar tak-chukop Kaseh saying buleh-lah tahu.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,pak,yang,pa,ying,kok,hu,kop,hu,20.0,"kapak, Serepeh, Ulu, kadalam, di-chakok, Ibu, buleh-lah, prahu, Kaseh, tak-chukop, tahu., melayang, bapa, mari, ajar, saying"
Ada kenal inchek Mustafa Balek sana kampong chempa Chantek perangai elok rupa Dalam srubu satu tak-jumpa.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,nal,na,ngai,bu,fa,pa,pa,pa,16.0,"Chantek, srubu, chempa, perangai, Balek, kenal, sana, elok, Ada, rupa, inchek, satu, tak-jumpa., kampong, Mustafa, Dalam"
Bila kesbrang hujan pon rintek Rintek habis basah bomi-nya Bukan chantek sebarang chantek Chantek dengan budi bahas-nya.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,brang,bis,tek,ngan,tek,nya,tek,nya,23.0,"Chantek, bahas-nya., basah, habis, dengan, bomi-nya, Bukan, rintek, kesbrang, hujan, Bila, pon, Rintek, chantek, budi, sebarang"
Singgah di-pantai menyampak jala Dapat ikan satu prahu Jangan fakir sahya-ni gila Sapa terdapat dia-lah tahu.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,tai,kan,kir,pat,la,hu,la,hu,18.0,"Dapat, gila, terdapat, ikan, prahu, satu, tahu., Singgah, sahya-ni, Jangan, menyampak, Sapa, jala, dia-lah, fakir, di-pantai"
Datok raja rebah tergolek Dalam istana bagi nak-gila Dudok sahja tiada bersolek Sabagai bunga bahru mala.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,ja,na,ja,nga,lek,la,lek,la,22.0,"mala., sahja, tiada, nak-gila, rebah, Datok, tergolek, bagi, bersolek, raja, Sabagai, bunga, bahru, Dalam, istana, Dudok"
Ayer hining di-gunong batak Mengalir sampai kesungei serdang Puteh kuning hidong serdang Tiada jemu mata memandang.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,ning,pai,ning,mu,tak,dang,dang,dang,17.0,"jemu, sampai, Ayer, di-gunong, kesungei, Puteh, hining, hidong, Mengalir, Tiada, mata, memandang., kuning, batak, serdang"
Bara api di-dalam pua  Kemiyan ada di-dalam chelpa Buah hati jantong ku tuan Ingat-lah tuan jangan-lah lupa.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,pi,da,ti,an,a,pa,an,pa,19.0,"tuan, Bara, Buah, jangan-lah, Ingat-lah, api, pua, hati, ada, di-dalam, lupa., Kemiyan, chelpa, ku, jantong"
Kerumah guru chri Tok Imam Hari raya ketika-nya baik Datang rindu demam tak-demam Serkaya di-makan rasa-nya pahit.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,ru,ya,du,kan,mam,ik,mam,hit,19.0,"chri, Serkaya, Imam, Kerumah, baik, Datang, tak-demam, pahit., Hari, rindu, demam, Tok, guru, di-makan, ketika-nya, rasa-nya, raya"
Daun kadok lebat dahan-nya Kekampong china beli delapa Di-mana dudok lekat bahu-nya Hati mana buleh nak-lupa.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,dok,na,dok,na,nya,pa,nya,pa,23.0,"dahan-nya, kadok, Di-mana, lekat, bahu-nya, dudok, Hati, delapa, nak-lupa., china, lebat, Daun, Kekampong, buleh, beli, mana"
Jangan hingar tempat yang sunyi Biar berjalan terpedap-pedap Tak-usah di-lomor ayer wangi Memang badan berbahu sedap.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,ngar,lan,mor,dan,nyi,dap,ngi,dap,19.0,"yang, berjalan, hingar, terpedap-pedap, sedap., tempat, wangi, berbahu, ayer, Biar, sunyi, Tak-usah, Jangan, di-lomor, Memang, badan"
Bawak kuli dari kulim Masok di-kebon buat kerja Kulit halus seperti lilin Di-situ tempat hati-ku manja.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,li,bon,lus,pat,lim,ja,lin,ja,16.0,"Di-situ, dari, kuli, tempat, Masok, halus, hati-ku, seperti, Kulit, kulim, manja., Bawak, lilin, kerja, buat, di-kebon"
Betek manis telok kepayang Makan isi buang biji-nya Chantek manis siapa tak-sayang Sayang badan dengan chuchi-nya.,Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,nis,si,nis,dan,yang,nya,yang,nya,23.0,"manis, Makan, kepayang, isi, dengan, badan, chuchi-nya., siapa, telok, tak-sayang, Sayang, biji-nya, buang, Chantek, Betek"
Naik kerita sambil menyambil Kuda jangan tuan sesah-kan Harta-ku ada baik di-ambil Hati-ku jangan tuan susah-kan,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,ta,ngan,da,ngan,bil,kan,bil,kan,23.0,"tuan, Naik, jangan, baik, di-ambil, Hati-ku, susah-kan, sesah-kan, kerita, ada, Kuda, menyambil, Harta-ku, sambil"
Buah mamplam di-pukol angina Beli rebong barang sebuku Rindu dendam bukan-nya main Kalau burong terbang-lah aku.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,plam,bong,dam,rong,na,ku,in,ku,20.0,"Buah, mamplam, Rindu, sebuku, rebong, angina, terbang-lah, bukan-nya, barang, Beli, main, burong, dendam, di-pukol, aku., Kalau"
Pergi di-tasek memanching haruan Champak jala kepala titi Bila ashek teringat-kan tuan Gesek biola hibor-kan hati.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,sek,la,hek,la,an,ti,an,ti,23.0,"tuan, ashek, memanching, di-tasek, titi, Bila, biola, hati., kepala, hibor-kan, teringat-kan, Gesek, haruan, jala, Champak, Pergi"
Naga balon naga gentara Naga umbang diam di-tasek Bertemu tahon belom ketara Rasa bimban di-dalam ashek.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,lon,bang,hon,ban,ra,sek,ra,hek,20.0,"Naga, diam, balon, naga, di-tasek, ashek., belom, ketara, gentara, bimban, di-dalam, Bertemu, umbang, tahon, Rasa"
Sudah bersintok lalu berjahat Kain di pakai bertepi mas Gila mabok apa-nya ubat Makin di-fikir bertambah lemas.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,tok,kai,bok,kir,hat,mas,bat,mas,19.0,"ubat, lalu, lemas., bersintok, Gila, berjahat, pakai, bertepi, di-fikir, apa-nya, mas, Makin, Sudah, di, Kain, mabok, bertambah"
Lagu habis dapat di-semperna Chari panton pulak bagi mana Tambah harti dengan ma'ana Di-puji orang sini dan sana.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,bis,ton,ti,rang,na,na,na,na,22.0,"panton, harti, Lagu, pulak, habis, dengan, dapat, Tambah, sana., Di-puji, bagi, ma'ana, dan, orang, sini, di-semperna, Chari, mana"
'Masak Asam' Kronchong 'Meritzkey' Panghabisan suka muda laki-laki Sudah pandai mahu-lah kraki Jangan mabok brandy whishky.,Peranakan,Peranakan,Panton Permolaan 12,Peranakan,sam,ka,dai,bok,zkey,ki,ki,hky,13.0,"Asam', laki-laki, 'Meritzkey', muda, brandy, Kronchong, mahu-lah, suka, pandai, 'Masak, Panghabisan, Jangan, Sudah, whishky., mabok, kraki"
'Ala Al-Lala' di-panggil tuan Akan bermain lagu bangsawan Habis berkenan jantan prompuan Seba melihat rupa kelakuan,Peranakan,Peranakan,Panton Permolaan 12,Peranakan,la,in,,hat,an,wan,an,an,20.0,"tuan, berkenan, melihat, di-panggil, lagu, Akan, prompuan, Seba, kelakuan, bangsawan, Habis, jantan, rupa, 'Ala, bermain, Al-Lala'"
Satu lagi Kronchong 'Pandan' Ambil tuan nama yang dan Kalau nak-senang tuboh badan Bertemu jugak di-tengah maidan.,Peranakan,Peranakan,Panton Permolaan 12,Peranakan,gi,an,nang,gak,dan,dan,dan,dan,18.0,"yang, tuan, nak-senang, maidan., nama, Kronchong, di-tengah, tuboh, jugak, Satu, Kalau, Bertemu, dan, lagi, badan, 'Pandan', Ambil"
